"","Orderid","Orderdatetime","Saleamount","Newcustomer","Position","Positiondatetime","Groupname","Networkname","Networkid","Brand","Positionname","DaysToConvert"
"1",11634052,"2012-05-01 4:24",341.5,"Y",1,"2012-05-01 3:49","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","CONVERTER",0
"2",11634052,"2012-05-01 4:24",341.5,"Y",0,"2012-05-01 3:47","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000793","Y","ORIGINATOR",0
"3",11634059,"2012-05-01 4:08",339,"Y",2,"2012-04-29 21:01","PRINT - MAGAZINES","Medifastok.com","medifastok.com","N","CONVERTER",2
"4",11634059,"2012-05-01 4:08",339,"Y",1,"2012-04-24 5:29","CPM","Armonix","nar7467","N","ASSIST",7
"5",11634059,"2012-05-01 4:08",339,"Y",0,"2012-04-23 2:46","PRINT - MAGAZINES","Medifastok.com","medifastok.com","N","ORIGINATOR",8
"6",11634060,"2012-05-01 4:04",101.79,"N",7,"2012-04-29 23:06","CPM","Adroll - adr","adr","N","CONVERTER",2
"7",11634060,"2012-05-01 4:04",101.79,"N",6,"2012-04-29 23:05","CPM","Adroll - adr","adr","N","ASSIST",2
"8",11634060,"2012-05-01 4:04",101.79,"N",5,"2012-04-29 22:57","CPM","Adroll - adr","adr","N","ROSTER",2
"9",11634060,"2012-05-01 4:04",101.79,"N",4,"2012-04-29 21:43","CPM","Accordant","n6899541","N","ROSTER",2
"10",11634060,"2012-05-01 4:04",101.79,"N",3,"2012-04-29 21:38","CPM","Accordant","n6899541","N","ROSTER",2
"11",11634060,"2012-05-01 4:04",101.79,"N",2,"2012-04-29 21:38","CPM","Accordant","n6899541","N","ROSTER",2
"12",11634060,"2012-05-01 4:04",101.79,"N",1,"2012-04-28 21:49","CPM","Mediawhiz","n62974792","N","ROSTER",3
"13",11634060,"2012-05-01 4:04",101.79,"N",0,"2012-04-28 4:39","CPM","Adroll - adr","adr","N","ORIGINATOR",3
"14",11634119,"2012-05-01 4:39",174.69,"N",1,"2012-05-01 4:17","CPM","Acerno","acerno","N","CONVERTER",0
"15",11634119,"2012-05-01 4:39",174.69,"N",0,"2012-04-30 0:54","CPM","Armonix","nar7467","N","ORIGINATOR",1
"24",11634191,"2012-05-01 5:34",315,"Y",3,"2012-04-30 20:26","CPM","Armonix","nar7467","N","CONVERTER",1
"25",11634191,"2012-05-01 5:34",315,"Y",2,"2012-04-30 20:26","CPM","Armonix","nar7467","N","ASSIST",1
"26",11634191,"2012-05-01 5:34",315,"Y",1,"2012-04-26 3:18","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000793","Y","ROSTER",5
"27",11634191,"2012-05-01 5:34",315,"Y",0,"2012-04-23 3:43","CPM","AOL - February 2011","N9457P1A","N","ORIGINATOR",8
"28",11634217,"2012-05-01 6:31",731.6,"Y",2,"2012-04-30 3:45","CPM","Mediawhiz","n62974792","N","CONVERTER",1
"29",11634217,"2012-05-01 6:31",731.6,"Y",1,"2012-04-30 3:42","CPM","Mediawhiz","n62974792","N","ASSIST",1
"30",11634217,"2012-05-01 6:31",731.6,"Y",0,"2012-04-30 1:10","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000791","Y","ORIGINATOR",1
"31",11634218,"2012-05-01 6:24",256.5,"Y",4,"2012-04-25 4:31","BUZZ AFFILIATE","ValueClick CPA","vc225","N","CONVERTER",6
"32",11634218,"2012-05-01 6:24",256.5,"Y",3,"2012-04-01 20:25","CPM","Armonix","nar7467","N","ASSIST",30
"33",11634218,"2012-05-01 6:24",256.5,"Y",2,"2012-04-01 20:22","CPM","Armonix","nar7467","N","ROSTER",30
"34",11634218,"2012-05-01 6:24",256.5,"Y",1,"2012-03-26 3:59","CPM","Armonix","nar7467","N","ROSTER",35
"35",11634218,"2012-05-01 6:24",256.5,"Y",0,"2012-03-26 1:33","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000793","Y","ORIGINATOR",35
"41",11635494,"2012-05-01 9:08",107.76,"N",3,"2012-05-01 3:00","CPM","Magnetic","h987mag","N","CONVERTER",0
"42",11635494,"2012-05-01 9:08",107.76,"N",2,"2012-05-01 2:15","CPM","Armonix","nar7467","N","ASSIST",0
"43",11635494,"2012-05-01 9:08",107.76,"N",1,"2012-04-29 21:37","CPM","Mediawhiz","n62974792","N","ROSTER",2
"44",11635494,"2012-05-01 9:08",107.76,"N",0,"2012-04-29 21:37","CPM","Mediawhiz","n62974792","N","ORIGINATOR",2
"45",11636452,"2012-05-01 10:04",291.48,"N",5,"2012-05-01 9:59","Uncategorized","Uncategorized","uncategorized","N","CONVERTER",0
"46",11636452,"2012-05-01 10:04",291.48,"N",4,"2012-05-01 9:59","OTHER","MedifastHealth.com - Portal","medifasthealth","Y","ASSIST",0
"47",11636452,"2012-05-01 10:04",291.48,"N",3,"2012-04-20 9:52","CPM","Mediawhiz","n62974792","N","ROSTER",11
"48",11636452,"2012-05-01 10:04",291.48,"N",2,"2012-03-15 10:19","OTHER","MedifastHealth.com - Portal","medifasthealth","Y","ROSTER",46
"49",11636452,"2012-05-01 10:04",291.48,"N",1,"2012-03-15 10:19","Uncategorized","Uncategorized","uncategorized","N","ROSTER",46
"50",11636452,"2012-05-01 10:04",291.48,"N",0,"2012-01-31 21:39","Uncategorized","Uncategorized","uncategorized","N","ORIGINATOR",91
"51",11637581,"2012-05-01 11:51",184.15,"N",3,"2012-04-30 14:32","CPM","Mediawhiz","n62974792","N","CONVERTER",1
"52",11637581,"2012-05-01 11:51",184.15,"N",2,"2012-04-30 14:21","CPM","Adroll - adr","adr","N","ASSIST",1
"53",11637581,"2012-05-01 11:51",184.15,"N",1,"2012-04-30 14:20","CPM","Adroll - adr","adr","N","ROSTER",1
"54",11637581,"2012-05-01 11:51",184.15,"N",0,"2012-04-30 14:20","CPM","Adroll - adr","adr","N","ORIGINATOR",1
"57",11637654,"2012-05-01 12:47",175.02,"Y",1,"2012-05-01 12:23","Uncategorized","Uncategorized","uncategorized","N","CONVERTER",0
"58",11637654,"2012-05-01 12:47",175.02,"Y",0,"2012-05-01 12:22","OTHER","MedifastHealth.com - Portal","medifasthealth","Y","ORIGINATOR",0
"63",11637735,"2012-05-01 13:34",683,"Y",1,"2012-05-01 13:03","CPM","Armonix","nar7467","N","CONVERTER",0
"64",11637735,"2012-05-01 13:34",683,"Y",0,"2012-05-01 3:59","BUZZ AFFILIATE","ValueClick CPA","vc225","N","ORIGINATOR",0
"68",11637854,"2012-05-01 14:11",275.44,"Y",3,"2012-04-30 14:30","BUZZ AFFILIATE","carefirst","carefirst","N","CONVERTER",1
"69",11637854,"2012-05-01 14:11",275.44,"Y",2,"2012-04-30 14:14","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > medifast","g000869","Y","ASSIST",1
"70",11637854,"2012-05-01 14:11",275.44,"Y",1,"2012-04-30 13:57","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000793","Y","ROSTER",1
