"","group","A","B","C","D","E","hired"
"126","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"1353","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"83","male",1,1,0,0.260869565217391,0,0
"219","male",0,0,0.813711204046299,0.0869565217391304,1,1
"1567","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1404","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"1215","female",1,1,0,0.260869565217391,0,0
"1152","female",1,1,0,0.260869565217391,0,0
"973","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"920","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1
"1868","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"23","male",1,1,0,0.260869565217391,0,0
"1336","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"279","male",0,0,0.813711204046299,0.0869565217391304,1,0
"864","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"481","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1787","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"71","male",1,1,0,0.260869565217391,0,0
"1363","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"1471","female",0,0,0.813711204046299,0.0869565217391304,1,0
"982","male",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"847","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1857","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"95","male",1,1,0,0.260869565217391,0,1
"1590","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1692","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"164","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"753","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"348","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"1346","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"1189","female",1,1,0,0.260869565217391,0,1
"436","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,1
"1600","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"667","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"1287","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"1222","female",1,1,0,0.260869565217391,0,0
"112","male",1,1,0,0.260869565217391,0,0
"1965","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"1226","female",1,1,0,0.260869565217391,0,0
"3","male",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"1251","female",1,1,0,0.260869565217391,0,0
"1593","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1468","female",0,0,0.813711204046299,0.0869565217391304,1,0
"967","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1
"1675","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"1912","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"1156","female",1,1,0,0.260869565217391,0,0
"1033","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"1412","female",0,0,0.813711204046299,0.0869565217391304,1,1
"1955","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"1182","female",1,1,0,0.260869565217391,0,0
"1097","female",1,1,0,0.260869565217391,0,0
"210","male",0,0,0.813711204046299,0.0869565217391304,1,0
"1355","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"21","male",1,1,0,0.260869565217391,0,0
"956","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"1993","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"1773","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"35","male",1,1,0,0.260869565217391,0,0
"122","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"660","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"1953","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"257","male",0,0,0.813711204046299,0.0869565217391304,1,0
