"","group","A","B","C","D","E","hired","quality"
"126","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1,0.165852690932969
"1353","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.165751892460418
"83","male",1,1,0,0.260869565217391,0,0,0.608313860712829
"219","male",0,0,0.813711204046299,0.0869565217391304,1,1,0.455446594844277
"1567","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.312299810334431
"1404","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.164079114548148
"1215","female",1,1,0,0.260869565217391,0,0,0.610298240382707
"1152","female",1,1,0,0.260869565217391,0,0,0.609221686777401
"973","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.124026795854347
"920","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1,0.124362681807475
"1868","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,1.00196128723391
"23","male",1,1,0,0.260869565217391,0,0,0.610628090887324
"1336","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1,0.166057353068492
"279","male",0,0,0.813711204046299,0.0869565217391304,1,0,0.455878889625265
"864","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.958637283848971
"481","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.314513399546435
"1787","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.957933099714506
"71","male",1,1,0,0.260869565217391,0,0,0.610506759710349
"1363","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1,0.165467085068043
"1471","female",0,0,0.813711204046299,0.0869565217391304,1,0,0.457238908906459
"982","male",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0,1.00071914514595
"847","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.959337080090139
"1857","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0,0.999301033686686
"95","male",1,1,0,0.260869565217391,0,1,0.609271376010255
